Race Name,Date,Location,Distance,Latitude,Longitude,OpenCage Note,Formatted,City/Town,Country,Country Code,Confidence Score,State,State Code,Continent
5th Hong Kong Trail Championships,"May 25, 2025",Tai Po District (HKG),53km,22.43995,114.1654,ok,"Tai Po District, Hong Kong",,Hong Kong,hk,5,Tai Po District,,Asia
9th Mount Everest 60 km Extreme Ultra Marathon,"May 29, 2025",Khumbu Valley (NEP),60km,32.81874,-85.17939,ok,"Valley, Alabama, United States of America",,United States of America,us,6,Alabama,AL,North America
9th Khaokho Marathon,"Jun 01, 2025","Khaem Son, Khao Kho District, Phetchabun (THA)",45km,16.65791,101.02208,ok,"Khao Kho, Changwat Phetchabun, Thailand",,Thailand,th,5,Changwat Phetchabun,,Asia
20th Water Love Nagdong River Ultramarathon 100 km,"Jun 06, 2025","Eulsukdo, Busan (KOR)",100km,35.10278,129.04028,ok,"South Korea, Busan Busan",,South Korea,kr,4,Busan,,Asia
20h Water Love Nagdong River Ultramarathon 200 km,"Jun 06, 2025","Eulsukdo, Busan (KOR)",200km,35.10278,129.04028,ok,"South Korea, Busan Busan",,South Korea,kr,4,Busan,,Asia
19th Iwate Ginga 50km Marathon Challenge,"Jun 08, 2025","Nishiwaga, Iwate Pref. (JPN)",50km,,,ok,,,,,,,,
19th Iwate Ginga 100km Marathon Challenge,"Jun 08, 2025","Kitakami, Iwate Pref. (JPN)",100km,,,ok,,,,,,,,
19th Iwate Ginga 100km Marathon Challenge,"Jun 08, 2025","Kitakami, Iwate Pref. (JPN)",75km,,,ok,,,,,,,,
22th Gwangju 50km Ultra Marathon,"Jun 14, 2025",Gwangju City (KOR),51.8km,35.15472,126.91556,ok,"South Korea, Gwangju Gwangju",,South Korea,kr,5,Gwangju,,Asia
22th Gwangju 100km Ultra Marathon,"Jun 14, 2025",Gwangju City (KOR),100km,35.15472,126.91556,ok,"South Korea, Gwangju Gwangju",,South Korea,kr,5,Gwangju,,Asia
11th King of Kampung Kemensah 100 Km,"Jun 14, 2025",Ampang Jaya (MAS),100km,3.0911612,101.7511259,ok,"Cheras, Ampang Jaya Municipal Council, Hulu Langat, Malaysia",Ampang Jaya Municipal Council,Malaysia,my,9,Selangor,SGR,Asia
1st Kaga Spa by UTMB - Kaga Spa Trail Endurance100,"Jun 21, 2025",Yamanaka Onsen (JPN),105km,36.2501358,136.3746755,ok,"Yamanaka-Onsen Bus Terminal, 山中伊切線, Yamanakaonsen-Honmachi 1-chome, Kaga, Ishikawa Prefecture 922-0121, Japan",Kaga,Japan,jp,9,Ishikawa Prefecture,,Asia
1st Kaga Spa by UTMB - Kaga Spa Trail Endurance 50,"Jun 21, 2025",Yamanaka Onsen (JPN),58km,36.2501358,136.3746755,ok,"Yamanaka-Onsen Bus Terminal, 山中伊切線, Yamanakaonsen-Honmachi 1-chome, Kaga, Ishikawa Prefecture 922-0121, Japan",Kaga,Japan,jp,9,Ishikawa Prefecture,,Asia
14th Ulsan Taewha River 100 Km Ultramarathon,"Jun 21, 2025",Ulsan (KOR),100km,35.53722,129.31667,ok,"South Korea, Ulsan Ulsan",,South Korea,kr,6,Ulsan,,Asia
14th Ulsan Taewha River 50 Km Ultramarathon,"Jun 21, 2025",Ulsan (KOR),50km,35.53722,129.31667,ok,"South Korea, Ulsan Ulsan",,South Korea,kr,6,Ulsan,,Asia
7th Langkawi 100 Km Ultra Marathon,"Jun 21, 2025","Langkawi, Kedah (MAS)",100km,6.32649,99.8432,ok,"Kuah, Langkawi, Malaysia",,Malaysia,my,4,Kedah,KDH,Asia
19th Gobi March Mongolia,"Jun 22, 2025",Ulaanbaatar (MGL),250km/6stages,47.9313599,106.9134689,ok,"MGL radio, Sükhbaatar, Baga Toirog, Алтайн гудамж, 14180, Ulaanbaatar, Mongolia",Ulaanbaatar,Mongolia,mn,10,,,Asia
6th Ultra-Trail Khao Kho,"Jun 22, 2025",Phetchabun (THA),50km,16.6758588,101.1905078,ok,"Phetchabun Airport, Ban Rai Phathana, 2215, Phetchabun Province, Thailand",,Thailand,th,7,Phetchabun Province,,Asia
Hell Ultra - Manali to Leh,"Jun 23, 2025",Manali (IND),480km,32.2574,77.17481,ok,"Manāli, Kulu, India",,India,in,7,Himāchal Pradesh,,Asia
4th Deep Japan Ultra 100 - 80 km,"Jun 27, 2025",Niigata Pref. (JPN),80km,37.9128367,139.2382562,ok,"Niigata Learning Center For Humans & The Environment, Pref. Route 264, Kita Ward, Niigata, Niigata Prefecture 950-3393, Japan",Niigata,Japan,jp,9,Niigata Prefecture,,Asia
4th Deep Japan Ultra 100 - 165 km,"Jun 27, 2025",Niigata Pref. (JPN),165km,37.9128367,139.2382562,ok,"Niigata Learning Center For Humans & The Environment, Pref. Route 264, Kita Ward, Niigata, Niigata Prefecture 950-3393, Japan",Niigata,Japan,jp,9,Niigata Prefecture,,Asia
3rd Hidden Village Endurance,"Jun 28, 2025",Pahang Darul Makmur (MAS),24h,4.0151175,102.1717116,ok,"Bukit Ulu Mas, Jerantut, Malaysia",,Malaysia,my,9,Pahang,PHG,Asia
7th Luang Phayao Mountain Run,"Jun 29, 2025",Phayao (THA),54km,19.1666313,99.9019423,ok,"Wiang Subdistrict, Mueang Phayao District, Thailand",Wiang Subdistrict,Thailand,th,7,Phayao Province,,Asia
1st Hehuanshan Ultra Run,"Jul 04, 2025",Renai Township (TPE),45.2k,,,ok,,,,,,,,
3rd Khao Lang Baan Trail,"Jul 05, 2025",Khaokho (THA),60km,,,ok,,,,,,,,
16th Trans Korea 622K South to North,"Jul 06, 2025",Taejongdae (KOR),622km,37.3573,128.1046,ok,"South Korea, Gangwon-do T’aejongdae",,South Korea,kr,9,Gangwon-do,,Asia
4th Brooks Run For The Wild,"Jul 06, 2025",Kao Phra (THA),50km,16.3386837,102.8013055,ok,"Tha Phra, Khon Kaen Province 40260, Thailand",,Thailand,th,7,Khon Kaen Province,,Asia
4th Galiyat Mountain Trail,"Jul 20, 2025",Abbottabad (PAK),59km,34.1950923,73.2366178,ok,"Pak Afghan Aryana hotel, Abdul Latif Khan Street, Mandian, Abbottabad 22010, Pakistan",Abbottabad,Pakistan,pk,9,Khyber Pakhtunkhwa,KP,Asia
3rd AKHA Trail,"Aug 02, 2025",Mae Sai (THA),80km,20.3816674,99.8683325,ok,"Tham Luang Cave, Doi Jong Trail, Mae Sai district, Chiang Rai Province 57130, Thailand",,Thailand,th,9,Chiang Rai Province,,Asia
3rd AKHA Trail,"Aug 02, 2025",Mae Sai (THA),55km,20.3816674,99.8683325,ok,"Tham Luang Cave, Doi Jong Trail, Mae Sai district, Chiang Rai Province 57130, Thailand",,Thailand,th,9,Chiang Rai Province,,Asia
3rd Thailand 50K Ultra Marathon,"Aug 03, 2025",Nakhon Pathom (THA),50km,13.8122395,100.1317513,ok,"Tha Chalaep, Phet Kasem Road, Nakhon Chai Si, Nakhon Pathom Province 73120, Thailand",,Thailand,th,8,Nakhon Pathom Province,,Asia
3rd Thailand 100K Ultra Marathon,"Aug 03, 2025",Nakhon Pathom (THA),100km,13.8122395,100.1317513,ok,"Tha Chalaep, Phet Kasem Road, Nakhon Chai Si, Nakhon Pathom Province 73120, Thailand",,Thailand,th,8,Nakhon Pathom Province,,Asia
12th World Cultural Heritage,"Aug 22, 2025","Yamanakako, Yamanashi Pref. (JPN)",97km,35.61602,138.608,ok,"Yamanashi, Japan",,Japan,jp,1,Yamanashi,,Asia
11th The Most Beautiful Thing (TMBT) 100 km Ultra Trail Marathon,"Aug 30, 2025","Lingkubang, Sabah (MAS)",109km,3.7698,100.9879,ok,"Sabak Bernam, Selangor, Malaysia",,Malaysia,my,4,Selangor,SGR,Asia
